,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,rbversion
58,ztf,58358.200705999974,604200704615015004,2,604200704615,20.100504,1,604,0.2807938,19.907465,18.025835,19.7937,0.19343813,0.025977472,0.03418929,0.2972,265.6071058,41.2195305,0.8233333,19.5271,0.2974,False,True,False,bulk_1.0.0,0.0,6.13215963515015e+17,0.0,725120246.0,t8_f5_c3
59,ztf,58361.17337960005,607173374615010006,1,607173374615,20.9823,-1,607,0.16777,20.2495,18.740509,20.2011,0.250738,0.055463865,0.06246307,0.2026,265.607142,41.2195351,0.506667,20.2378,0.2653,False,True,False,bulk_1.0.0,0.0,6.13215963515015e+17,,,t12_f5_c3
60,ztf,58364.15662040003,610156623515010008,2,610156623515,20.7545,-1,610,0.556908,20.2354,18.36076,20.1691,0.232555,0.035522245,0.041368507,0.2307,265.6072566,41.2193744,0.63,20.0524,0.2622,False,True,False,bulk_1.0.0,0.0,6.13215963515015e+17,,,t12_f5_c3
61,ztf,58364.19964119978,610199644615010007,1,610199644615,20.7713,-1,610,0.372587,20.264,18.736925,20.5637,0.303427,0.068604104,0.074340366,0.2851,265.6071649,41.2194174,0.653333,20.5983,0.3725,False,True,False,bulk_1.0.0,0.0,6.13215963515015e+17,,,t12_f5_c3
62,ztf,58364.201053199824,610201053515010007,1,610201053515,20.9152,-1,610,0.249702,20.3481,18.768856,20.1937,0.246255,0.054444406,0.057502527,0.1933,265.60721,41.2194538,0.693333,20.0844,0.2208,False,True,False,bulk_1.0.0,0.0,6.13215963515015e+17,,,t12_f5_c3
63,ztf,58367.15041670017,613150414615015000,2,613150414615,20.495796,1,613,0.33401257,19.6214,17.969477,19.5876,0.13961954,0.022008266,0.030491339,0.1714,265.6072396,41.2194205,0.81,19.4643,0.1941,False,True,False,bulk_1.0.0,0.0,6.13215963515015e+17,0.0,725120246.0,t8_f5_c3
64,ztf,58367.21596059995,613215963515015020,1,613215963515,20.8558,1,613,0.26804775,20.041082,18.29771,20.0982,0.20440987,0.039244466,0.041034847,0.1995,265.6073045,41.219546,0.6933333,20.2226,0.2816,False,True,False,bulk_1.0.0,0.0,6.31133533515015e+17,0.0,724120135.0,t8_f5_c3
65,ztf,58367.233657400124,613233654615015012,1,613233654615,20.847,1,613,0.63831,20.4278,18.32925,20.5017,0.217199,0.024521839,0.03143677,0.2997,265.6073774,41.2193931,0.65,20.6122,0.419,False,True,False,bulk_1.0.0,0.0,6.31133533515015e+17,,,t12_f5_c3
66,ztf,58370.16208329983,616162083515010004,2,616162083515,20.433378,-1,616,0.112536035,19.69062,18.494526,19.3906,0.14873128,0.043219212,0.049427003,0.1381,265.6071795,41.2195068,0.74333334,19.1727,0.1439,False,True,False,bulk_1.0.0,0.0,6.31133533515015e+17,0.0,724120235.0,t8_f5_c3
67,ztf,58370.16255789995,616162554615010007,2,616162554615,20.4589,-1,616,0.427507,19.8805,18.506887,20.2933,0.255514,0.06325131,0.072105676,0.3224,265.6073569,41.2194687,0.733333,20.3587,0.4363,False,True,False,bulk_1.0.0,0.0,6.31133533515015e+17,,,t12_f5_c3
68,ztf,58370.186122700106,616186123515010007,1,616186123515,20.7419,-1,616,0.358155,20.4183,18.753098,20.2231,0.242041,0.04892858,0.052216455,0.2242,265.6070793,41.2195489,0.636667,20.0153,0.2353,False,True,False,bulk_1.0.0,0.0,6.31133533515015e+17,,,t12_f5_c3
69,ztf,58373.15054399986,619150543515010004,2,619150543515,20.699665,-1,619,0.27509788,20.11257,18.384144,20.3173,0.20121792,0.034755122,0.04095397,0.2851,265.6072817,41.2194696,0.69666666,20.3872,0.3861,False,True,False,bulk_1.0.0,0.0,6.31133533515015e+17,0.0,724120235.0,t8_f5_c3
70,ztf,58373.2026157002,619202613515010006,1,619202613515,20.685,-1,619,0.156035,20.3987,18.757372,20.3342,0.244352,0.050681677,0.053887043,0.254,265.6072594,41.2195091,0.72,20.0892,0.2575,False,True,False,bulk_1.0.0,0.0,6.31133533515015e+17,,,t12_f5_c3
71,ztf,58376.21472219983,622214723515015015,1,622214723515,20.431595,1,622,0.47466242,20.368315,18.35596,20.6669,0.2006173,0.028778607,0.03143596,0.4282,265.6073487,41.2194418,0.78,20.628,0.5262,False,True,False,bulk_1.0.0,0.0,6.31133533515015e+17,0.0,724120135.0,t8_f5_c3
72,ztf,58376.215185199864,622215184615015004,1,622215184615,20.675053,1,622,0.23606409,20.16705,18.287409,19.7723,0.18924408,0.027651938,0.033509344,0.181,265.6072632,41.2195639,0.5733333,19.6644,0.2076,False,True,False,bulk_1.0.0,0.0,6.31133533515015e+17,0.0,725120146.0,t8_f5_c3
